variable_code,jotform_qid,task,set,question_type,item_type,question_label_en,question_label_zh,valid_values,correct_answer,data_type,scale_level,termination_stage,termination_type,termination_field,termination_threshold,is_practice,is_scored,notes
ERV_P1,27,ERV,1,image-choice,practice,practice item 1,（練習題：請為幼兒戴上耳機）,"1,2,3,4",4,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
ERV_P2,28,ERV,1,image-choice,practice,practice item 2,（練習題：請為幼兒戴上耳機）,"1,2,3,4",2,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
ERV_P3,29,ERV,1,image-choice,practice,practice item 3,（練習題：請為幼兒戴上耳機）,"1,2,3,4",3,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
ERV_Q1,30,ERV,1,image-choice,vocabulary,cat,cat,"1,2,3,4",2,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q2,31,ERV,1,image-choice,vocabulary,apple,apple,"1,2,3,4",4,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q3,32,ERV,1,image-choice,vocabulary,balloon,balloon,"1,2,3,4",2,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q4,33,ERV,1,image-choice,vocabulary,hand,hand,"1,2,3,4",1,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q5,34,ERV,1,image-choice,vocabulary,airplane,airplane,"1,2,3,4",1,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q6,35,ERV,1,image-choice,vocabulary,bird,bird,"1,2,3,4",3,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q7,36,ERV,1,image-choice,vocabulary,tree,tree,"1,2,3,4",1,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q8,37,ERV,1,image-choice,vocabulary,table,table,"1,2,3,4",3,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q9,38,ERV,1,image-choice,vocabulary,drinking,drinking,"1,2,3,4",3,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q10,39,ERV,1,image-choice,vocabulary,frog,frog,"1,2,3,4",2,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q11,40,ERV,1,image-choice,vocabulary,money,money,"1,2,3,4",3,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q12,41,ERV,1,image-choice,vocabulary,umbrella,umbrella,"1,2,3,4",4,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Ter1,599,ERV,1,termination,termination_flag,Stage 1 termination indicator,第一階段終止指標,"0,1",0,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,FALSE,0=continued; 1=terminated at Stage 1
ERV_Q13,43,ERV,1,image-choice,vocabulary,running,running,"1,2,3,4",2,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q14,44,ERV,1,image-choice,vocabulary,window,window,"1,2,3,4",4,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q15,45,ERV,1,image-choice,vocabulary,neck,neck,"1,2,3,4",3,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q16,46,ERV,1,image-choice,vocabulary,talking,talking,"1,2,3,4",4,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
